utterance,intent,style
document ta cend koro,send_file_whatsapp,noisy_augmented
messenger dial korbo,call_messenger,banglish
nambar rakhar niyom,save_contact,noisy_augmented
mobile data kiram activate kori,turn_on_mobile_data,noisy
bikash mobile recharge kemne,recharge_mobile_bkash,noisy_augmented
new lombor save korte chai,save_contact,noisy_augmented
mobile e taka boro bicas,recharge_mobile_bkash,noisy_augmented
ছবিটা পাঠাও হোয়াটসঅ্যাপে,send_photo_whatsapp,command
sim richarge hobe kemne,recharge_mobile_bkash,noisy_augmented
money pathaite chai bicas,send_money_bkash,noisy_augmented
photo patamu whatsapp,send_photo_whatsapp,noisy_augmented
messenger call hocche na,call_messenger,banglish
wifi on kora dekhao,turn_on_wifi,banglish
number search kiram,find_contact,noisy
photo fatabo whatsapp,send_photo_whatsapp,noisy_augmented
sim e net nai,turn_on_mobile_data,banglish
richarge korte parchhi na,recharge_mobile_bkash,noisy_augmented
richarge korte parchhi na,recharge_mobile_bkash,noisy_augmented
নাম দিয়ে লম্বর খুঁজবো,find_contact,noisy_augmented
sim recharge hobe kemne,recharge_mobile_bkash,noisy
messenger e kotha bolbo kivabe,call_messenger,banglish
install app kiram hobe,download_app,noisy_augmented
messenjar kemne call kori,call_messenger,noisy_augmented
mobile data setting,turn_on_mobile_data,broken
bkash mobile recharge kemne,recharge_mobile_bkash,noisy
document pathabo whatsapp diye,send_file_whatsapp,banglish
file send hochhe na,send_file_whatsapp,banglish
foto fatao uatsap te,send_photo_whatsapp,noisy_augmented
ফোনবুক দেখাও,find_contact,command
recharge bikash,recharge_mobile_bkash,noisy_augmented
whatsapp e sobi dibo kemne,send_photo_whatsapp,noisy_augmented
cend file korte hobe,send_file_whatsapp,noisy_augmented
অ্যাপ নামাও,download_app,command
teha pathaite hobe bkash,send_money_bkash,noisy_augmented
phone e number likhe rakhbo,save_contact,mixed
uatsap e file pathabo,send_file_whatsapp,noisy_augmented
ডেটা কানেকশন চালু করো,turn_on_mobile_data,command
richarge nai sim e,recharge_mobile_bkash,noisy_augmented
document ta diye dao,send_file_whatsapp,banglish
bkash theke taka jabe,send_money_bkash,banglish
waiphy on,turn_on_wifi,noisy_augmented
বিকাশ থেকে টাকা দাও,send_money_bkash,command
upload file wattsap,send_file_whatsapp,noisy_augmented
file kemne pathai,send_file_whatsapp,noisy_augmented
fodu fatabo hoyatsap diye,send_photo_whatsapp,noisy_augmented
messenjar call kivabe,call_messenger,noisy
kotha bolbo messanger diye,call_messenger,noisy_augmented
install kivabe hoy,download_app,noisy
টাকা ট্রান্সফার করবো,send_money_bkash,mixed
টাকা শেষ রিচার্জ দিতে হবে,recharge_mobile_bkash,mixed
install app kivabe hobe,download_app,banglish
data chalu koro,turn_on_mobile_data,mixed
হোয়াটসঅ্যাপে ফাইল পাঠাবো কীভাবে,send_file_whatsapp,standard
ওয়াইফাই চালু,turn_on_wifi,broken
wayfi switch,turn_on_wifi,noisy_augmented
bicas taka kivabe,send_money_bkash,noisy_augmented
dounload hocche na keno,download_app,noisy_augmented
recharge korte parchhi na,recharge_mobile_bkash,banglish
download app kemne,download_app,noisy
waiphy turn on kemne,turn_on_wifi,noisy_augmented
waiphy khemne connect hobe,turn_on_wifi,noisy_augmented
uatsap e image dibo,send_photo_whatsapp,noisy_augmented
number add korbo,save_contact,banglish
numbor search kiram,find_contact,noisy_augmented
hoyatsap chobi,send_photo_whatsapp,noisy_augmented
internet nai kemon kore chalabo,turn_on_mobile_data,noisy_augmented
app kemne instol kori,download_app,noisy_augmented
teha voro mobile e,recharge_mobile_bkash,noisy_augmented
contact e name,find_contact,broken
teha e jabe kemne,send_money_bkash,noisy_augmented
contact list e add kori ki kore,save_contact,banglish
data on hochhe na,turn_on_mobile_data,banglish
messenjar theke call,call_messenger,noisy_augmented
bkash diye taka dibo,send_money_bkash,banglish
নম্বর যোগ করো,save_contact,command
foto send kemne hoy,send_photo_whatsapp,noisy
money pathaite chai bikash,send_money_bkash,noisy_augmented
teha pathate parchhi na bkash e,send_money_bkash,noisy_augmented
uatsap file send kiram,send_file_whatsapp,noisy_augmented
contact banate chai,save_contact,banglish
ফাইল শেয়ার করবো হোয়াটসঅ্যাপে,send_file_whatsapp,standard
bicas recharge niyom,recharge_mobile_bkash,noisy_augmented
অ্যাপ,download_app,broken
sim top up kemne,recharge_mobile_bkash,noisy
chobi kiram jai hoyatsap e,send_photo_whatsapp,noisy_augmented
install kemne,download_app,noisy
মোবাইলে টাকা দিতে চাই বিকাশ দিয়ে,recharge_mobile_bkash,standard
নাম্বার পাচ্ছি না,find_contact,broken
money fataite chai bkash,send_money_bkash,noisy_augmented
messanger call dite chai,call_messenger,noisy_augmented
uatsap document fatao,send_file_whatsapp,noisy_augmented
lambar rakhte chai,save_contact,noisy
bkash send money,send_money_bkash,broken
messenjar khemne call kori,call_messenger,noisy_augmented
app download kemne hoy,download_app,noisy
payment bikash,send_money_bkash,noisy_augmented
search contact kivabe,find_contact,banglish
mobile richarge bkash e,recharge_mobile_bkash,noisy_augmented
রিচার্জ করো,recharge_mobile_bkash,command
document share korbo,send_file_whatsapp,banglish
bkash e takha pataite hobe,send_money_bkash,noisy
ইন্টারনেট চালু করো,turn_on_mobile_data,command
numbor kivabe dekhbo,find_contact,noisy
bkash money transfer,send_money_bkash,broken
mobile e taka bhoro,recharge_mobile_bkash,banglish
file dibo whatsapp e,send_file_whatsapp,banglish
ওয়াইফাই অন দেখাও,turn_on_wifi,command
whatsapp e chobi pathabo,send_photo_whatsapp,banglish
call korbo messanger e kivabe,call_messenger,noisy_augmented
whatsapp chobi,send_photo_whatsapp,broken
bkash teka dibo kemne,send_money_bkash,noisy_augmented
lambar khojbo,find_contact,noisy
number save korbo kemba,save_contact,noisy_augmented
contect e lombor nai,find_contact,noisy_augmented
numbor kemne rakhi,save_contact,noisy_augmented
waiphy chalate parchhi na,turn_on_wifi,noisy_augmented
internet connection nai,turn_on_mobile_data,broken
ফাইল পাঠানো যাচ্ছে না,send_file_whatsapp,standard
file share kemne hoy,send_file_whatsapp,noisy_augmented
call korbo messanger e kivabe,call_messenger,noisy_augmented
document fadamu uatsap te,send_file_whatsapp,noisy_augmented
হোয়াটসঅ্যাপে কাগজ পাঠাবো,send_file_whatsapp,mixed
contact save kori khemne,save_contact,noisy_augmented
takha e jabe kemne,send_money_bkash,noisy_augmented
lambar add korbo,save_contact,noisy_augmented
call dibo messanger,call_messenger,noisy_augmented
nambar save niyom,save_contact,noisy_augmented
contect add korbo ki kore,save_contact,noisy_augmented
nambar ta kothay thake,find_contact,noisy_augmented
wayfi cholche na,turn_on_wifi,noisy_augmented
অ্যাপ ডাউনলোড দেখাও,download_app,command
ছবি পাঠানোর নিয়ম কী,send_photo_whatsapp,question
contact save kori kivabe,save_contact,banglish
wayfi on kivabe hobe,turn_on_wifi,noisy_augmented
document fatao whatsapp diye,send_file_whatsapp,noisy_augmented
file ta pathao,send_file_whatsapp,banglish
mobile data on korbo kivabe,turn_on_mobile_data,banglish
recharge bicas,recharge_mobile_bkash,noisy_augmented
messanger call button kothay,call_messenger,noisy_augmented
play store kemne jai,download_app,noisy
hoyatsap file kemne jai,send_file_whatsapp,noisy_augmented
bkash theke reecharge kiram,recharge_mobile_bkash,noisy_augmented
wifi setting kothay,turn_on_wifi,banglish
mobile e teha dibo bkash diye,recharge_mobile_bkash,noisy
contect khuja,find_contact,noisy_augmented
ছবি share করবো কীভাবে,send_photo_whatsapp,mixed
app kemba namai,download_app,noisy_augmented
phone e number store,save_contact,broken
ছবি দেওয়া যাচ্ছে না,send_photo_whatsapp,broken
file fatao kemne hoy,send_file_whatsapp,noisy
sim e taka nai recharge koro,recharge_mobile_bkash,banglish
send korbo bkash,send_money_bkash,banglish
document cend kori ki kore,send_file_whatsapp,noisy_augmented
app kemne install kori,download_app,noisy
bikash teha patha,send_money_bkash,noisy_augmented
contect save korar niyom dekhao,save_contact,noisy_augmented
waiphy kiram chalabo,turn_on_wifi,noisy_augmented
বিকাশে টাকা পাঠানো হয় কীভাবে,send_money_bkash,question
messenger e kotha bolbo khemne,call_messenger,noisy_augmented
file cend hochhe na,send_file_whatsapp,noisy_augmented
wayfi kemne on kori,turn_on_wifi,noisy_augmented
bkash e recharge dibo kivabe,recharge_mobile_bkash,banglish
lombor list dekhao,find_contact,noisy_augmented
messenger call kemne kori,call_messenger,noisy
send korbo bicas,send_money_bkash,noisy_augmented
wifi hochhe na,turn_on_wifi,banglish
taka pathaite hobe bikash,send_money_bkash,noisy_augmented
numbor kiram rakhi,save_contact,noisy_augmented
messanger call kemne kori,call_messenger,noisy_augmented
bicas teka pathaite chai,send_money_bkash,noisy_augmented
app instol hocche na keno,download_app,noisy_augmented
taka transfer hobe bikash e,send_money_bkash,noisy_augmented
wayfi on kemne,turn_on_wifi,noisy
bkash diye net richarge,recharge_mobile_bkash,noisy_augmented
wifi on switch,turn_on_wifi,broken
whatsapp e file pathabo,send_file_whatsapp,banglish
photo pathabo whatsapp,send_photo_whatsapp,banglish
এই ছবিটা হোয়াটসঅ্যাপে দিতে চাই,send_photo_whatsapp,standard
nambar save kiram hoy,save_contact,noisy
messanger audio call kemne,call_messenger,noisy_augmented
file kiram dibo,send_file_whatsapp,noisy
new lambar save korte chai,save_contact,noisy_augmented
fodu pathabo kemne,send_photo_whatsapp,noisy
foto fatao whatsapp te,send_photo_whatsapp,noisy
taka jabe bkash diye,send_money_bkash,banglish
whatsapp file cend kiram,send_file_whatsapp,noisy_augmented
bkash e teyha pathabo,send_money_bkash,noisy_augmented
app instol koro,download_app,noisy_augmented
search contact khemne,find_contact,noisy_augmented
cend korbo bkash,send_money_bkash,noisy_augmented
lombor save kemne kori,save_contact,noisy
call messenjar,call_messenger,noisy_augmented
numbor khujte chai,find_contact,noisy_augmented
app dounload store,download_app,noisy_augmented
app dounload hocche na,download_app,noisy_augmented
video call messenjar,call_messenger,noisy_augmented
wayfi kiram chalabo,turn_on_wifi,noisy_augmented
add lambar phone e,save_contact,noisy_augmented
contect add korbo ki kore,save_contact,noisy_augmented
bicas diye takha dite chai,send_money_bkash,noisy_augmented
teha diye richarge hobe ki,recharge_mobile_bkash,noisy_augmented
হোয়াটসঅ্যাপে ফটো পাঠানো দেখাও,send_photo_whatsapp,command
net cholao,turn_on_mobile_data,command
app dounload hochhe na,download_app,noisy_augmented
wifi on kiram hoy,turn_on_wifi,noisy_augmented
bicas transfer kemne hoy,send_money_bkash,noisy_augmented
wayfi setting dekhao,turn_on_wifi,noisy_augmented
app kemne instol kori,download_app,noisy_augmented
ওয়াইফাই অন করো,turn_on_wifi,command
ওয়াইফাই অন করতে চাই,turn_on_wifi,standard
chobi send korte chai uatsap e,send_photo_whatsapp,noisy_augmented
wifi on khemne hobe,turn_on_wifi,noisy_augmented
contect e lombor nai,find_contact,noisy_augmented
app kiram dhorbo,download_app,noisy
chobi fatamu kemne,send_photo_whatsapp,noisy_augmented
contact save korar niyom dekhao,save_contact,banglish
wayfi on korte parchhi na,turn_on_wifi,noisy_augmented
numbor save kemne jay,save_contact,noisy
wifi switch,turn_on_wifi,broken
file send korbo whatsapp e,send_file_whatsapp,banglish
teha diye richarge hobe ki,recharge_mobile_bkash,noisy_augmented
internet kivabe chalabo,turn_on_mobile_data,question
বিকাশে টাকা পাঠাবো কীভাবে,send_money_bkash,standard
play store kiram jai,download_app,noisy_augmented
taka pathate parchhi na bkash e,send_money_bkash,banglish
richarge kemne dibo,recharge_mobile_bkash,noisy_augmented
lombor khujte pari na,find_contact,noisy_augmented
phone e karo lombor khoji,find_contact,noisy_augmented
file attachment kemne,send_file_whatsapp,noisy
wifi khemne connect hobe,turn_on_wifi,noisy
wifi connect kori ki kore,turn_on_wifi,banglish
taka sesh richarge dao,recharge_mobile_bkash,noisy_augmented
whatsapp e foto pathabo,send_photo_whatsapp,noisy_augmented
ওয়াইফাই নেটওয়ার্ক,turn_on_wifi,broken
sobi fatabo hoyatsap e,send_photo_whatsapp,noisy_augmented
lombor kothay rakhi,save_contact,noisy
money pathaite chai bkash,send_money_bkash,noisy
foto cend kemne,send_photo_whatsapp,noisy_augmented
video call messenger,call_messenger,broken
messenjar ring kemne,call_messenger,noisy_augmented
bikash diye recharge korbo,recharge_mobile_bkash,noisy_augmented
bkash taka kiram jay,send_money_bkash,noisy
bikash recharge kemne hoy,recharge_mobile_bkash,noisy_augmented
send document wattsap,send_file_whatsapp,noisy_augmented
teha fatamu bicas diye,send_money_bkash,noisy_augmented
নেট কেন কাজ করছে না,turn_on_mobile_data,question
কল করো,call_messenger,command
ছবি পাঠাতে পারছি না,send_photo_whatsapp,broken
bkash teha kivabe,send_money_bkash,noisy_augmented
internet nai kiram chalabo,turn_on_mobile_data,noisy_augmented
sobi kiram pathai,send_photo_whatsapp,noisy_augmented
number save hocche na,save_contact,banglish
bicas recharge korte chai,recharge_mobile_bkash,noisy_augmented
foto kivabe jai hoyatsap e,send_photo_whatsapp,noisy_augmented
wayfi kemne connect hoy,turn_on_wifi,noisy_augmented
wifi,turn_on_wifi,broken
messenjar call button kothay,call_messenger,noisy_augmented
contact e noya numbor,save_contact,noisy_augmented
app instol kiram,download_app,noisy_augmented
waiphy on korbo kivabe,turn_on_wifi,noisy_augmented
contect list dekhai,find_contact,noisy_augmented
lombor ta rakhte chai,save_contact,noisy_augmented
নাম্বার খোঁজো,find_contact,command
recharge kemne dibo,recharge_mobile_bkash,noisy
uatsap e kagoz pathabo,send_file_whatsapp,noisy_augmented
bkash diye net richarge,recharge_mobile_bkash,noisy_augmented
bicas send money,send_money_bkash,noisy_augmented
ফাইল যাচ্ছে না কেন,send_file_whatsapp,question
number phone e rakho,save_contact,banglish
sim recharge bkash kivabe,recharge_mobile_bkash,banglish
takha diye richarge kiram kori,recharge_mobile_bkash,noisy_augmented
bkash e recharge fatabo kemne,recharge_mobile_bkash,noisy
হোয়াটসঅ্যাপে ছবি পাঠাতে চাই,send_photo_whatsapp,standard
মেসেঞ্জারে কল করবো কীভাবে,call_messenger,standard
file cend hocche na,send_file_whatsapp,noisy_augmented
facebook messanger call,call_messenger,noisy_augmented
phone e karo number khoji,find_contact,banglish
messanger e ring dibo,call_messenger,noisy_augmented
call dibo messenjar,call_messenger,noisy_augmented
messenjar call kemba,call_messenger,noisy_augmented
teha fatabo kivabe bikash,send_money_bkash,noisy_augmented
bikash payment korbo,send_money_bkash,noisy_augmented
photo ta ke fatabo,send_photo_whatsapp,noisy_augmented
hoyatsap e foto dite chai,send_photo_whatsapp,noisy_augmented
messenjar call kiram dibo,call_messenger,noisy
uatsap file,send_file_whatsapp,noisy_augmented
taka transfer bkash,send_money_bkash,broken
chobi pathaite pari na,send_photo_whatsapp,noisy
bkash payment kemne,send_money_bkash,noisy
send document wattsap,send_file_whatsapp,noisy_augmented
app namao,download_app,command
app dounload store,download_app,noisy_augmented
app ta kothay pabo,download_app,banglish
takha fatabo bkash e,send_money_bkash,noisy
messenjar call kemne jay,call_messenger,noisy_augmented
bicas e takha bharbo,recharge_mobile_bkash,noisy_augmented
send money bicas kivabe,send_money_bkash,noisy_augmented
bkash theke richarge kiram,recharge_mobile_bkash,noisy_augmented
whatsapp e kagoj pathabo,send_file_whatsapp,banglish
net cholate chai,turn_on_mobile_data,banglish
bicas theke recharge hoy ki,recharge_mobile_bkash,noisy_augmented
sim e teha dibo bkash,recharge_mobile_bkash,noisy_augmented
wayfi diye internet chalabo,turn_on_wifi,noisy_augmented
wayfi hochhe na,turn_on_wifi,noisy_augmented
play store e app kiram pabo,download_app,noisy
noya contect banabo,save_contact,noisy_augmented
chobi fatamu kemne,send_photo_whatsapp,noisy_augmented
lombor khujbo kemne,find_contact,noisy
takha dite chai,send_money_bkash,noisy_augmented
app install koro,download_app,banglish
waiphy on switch,turn_on_wifi,noisy_augmented
ফাইল আপলোড করবো,send_file_whatsapp,mixed
নম্বর সেভ করো,save_contact,command
waiphy khemne connect hobe,turn_on_wifi,noisy_augmented
contact banabo khemne,save_contact,noisy_augmented
numbor kiram store kori,save_contact,noisy_augmented
data band hoye gese,turn_on_mobile_data,mixed
waiphy on switch,turn_on_wifi,noisy_augmented
contact e lombor nai,find_contact,noisy
file share kivabe hoy,send_file_whatsapp,banglish
router connect korbo,turn_on_wifi,banglish
send file korte hobe,send_file_whatsapp,banglish
contect ta gelo kothay,find_contact,noisy_augmented
app e jacche na,download_app,broken
ফেসবুক মেসেঞ্জারে কল,call_messenger,mixed
messanger audio kemne,call_messenger,noisy_augmented
teha jabe bkash diye,send_money_bkash,noisy_augmented
foto ta dao,send_photo_whatsapp,banglish
বিকাশে টাকা দিতে চাই,send_money_bkash,standard
nambar save hocche na,save_contact,noisy_augmented
teha pathao bikash,send_money_bkash,noisy_augmented
sim e takha dibo bkash,recharge_mobile_bkash,noisy_augmented
image ta fatao,send_photo_whatsapp,noisy_augmented
wayfi on koro,turn_on_wifi,noisy_augmented
mobile e takha bhoro,recharge_mobile_bkash,noisy_augmented
contect banabo kivabe,save_contact,noisy_augmented
wifi on nai keno,turn_on_wifi,banglish
waiphy band hoye gese,turn_on_wifi,noisy_augmented
contect store korbo,save_contact,noisy_augmented
taka transfer bikash,send_money_bkash,noisy_augmented
whatsapp document fatao,send_file_whatsapp,noisy
waiphy on kiram,turn_on_wifi,noisy
messenjar dial korbo,call_messenger,noisy_augmented
contact store korbo,save_contact,banglish
contact save hochhe na,save_contact,banglish
app dounload korte hobe,download_app,noisy_augmented
instol kemne,download_app,noisy_augmented
contect save kori kivabe,save_contact,noisy_augmented
foto send kemne,send_photo_whatsapp,noisy
lombor khojbar niyom,find_contact,noisy
play store kiram jai,download_app,noisy_augmented
নম্বর নেই কোথায়,find_contact,question
number ta kothay thake,find_contact,banglish
কল করা দেখাও মেসেঞ্জারে,call_messenger,command
bikash taka patha,send_money_bkash,noisy
sim data on,turn_on_mobile_data,broken
payment bikash,send_money_bkash,noisy_augmented
wifi chalate chai,turn_on_wifi,banglish
play store kemon kore jai,download_app,noisy_augmented
বিকাশে পাঠানো দেখাও,send_money_bkash,command
teha pathao bikash,send_money_bkash,noisy_augmented
contect list dekhai,find_contact,noisy_augmented
payment bkash,send_money_bkash,broken
waiphy kaj korche na,turn_on_wifi,noisy_augmented
কন্টাক্ট দেখাও,find_contact,command
lombor ta pawa jacche na,find_contact,noisy
bikash mobile top up,recharge_mobile_bkash,noisy_augmented
data on off kemne kori,turn_on_mobile_data,noisy
mobile balance nai bikash diye dao,recharge_mobile_bkash,noisy_augmented
bikash mobile teha,recharge_mobile_bkash,noisy_augmented
contact ta gelo kothay,find_contact,banglish
richarge bkash kivabe,recharge_mobile_bkash,noisy_augmented
বিকাশে রিচার্জ হয় কীভাবে,recharge_mobile_bkash,question
data on kemne hoy,turn_on_mobile_data,noisy
bkash e teha fatabo kemne,send_money_bkash,noisy_augmented
নতুন নম্বর রাখতে চাই,save_contact,standard
messenjar call kemne,call_messenger,noisy_augmented
bkash e send hobe,send_money_bkash,banglish
phonebook e contact khuji,find_contact,banglish
store theke namabo,download_app,banglish
messenjar call kiram,call_messenger,noisy_augmented
bicas payment kemne,send_money_bkash,noisy_augmented
sobi fatabo wattsap e,send_photo_whatsapp,noisy_augmented
file fatabo uatsap e kemne,send_file_whatsapp,noisy_augmented
wifi diye internet chalabo,turn_on_wifi,banglish
teha dibo bicas te,send_money_bkash,noisy_augmented
mobile e teha boro bkash,recharge_mobile_bkash,noisy_augmented
lambar rakhar niyom,save_contact,noisy_augmented
whatsapp e photo cend korbo kivabe,send_photo_whatsapp,noisy_augmented
teka pathate parchhi na bkash e,send_money_bkash,noisy_augmented
waiphy chalate parchhi na,turn_on_wifi,noisy_augmented
teyha e bkash,send_money_bkash,noisy_augmented
waiphy connect hocche na,turn_on_wifi,noisy_augmented
number save korbo khemne,save_contact,noisy_augmented
hoyatsap file,send_file_whatsapp,noisy_augmented
sobi kemne pathai,send_photo_whatsapp,noisy_augmented
data on r niyom,turn_on_mobile_data,banglish
play store theke app namabo,download_app,banglish
wifi on korbo kivabe,turn_on_wifi,banglish
bkash teka dibo kivabe,send_money_bkash,noisy
contect list e add kori ki kore,save_contact,noisy_augmented
nambar ta nai keno,find_contact,noisy
waiphy kothay,turn_on_wifi,noisy_augmented
messenjar e phone kiram,call_messenger,noisy
mobile balance nai bicas diye dao,recharge_mobile_bkash,noisy_augmented
messanger diye phone dibo,call_messenger,noisy_augmented
ফোনে নাম্বার রাখো,save_contact,command
numbor ta khoje dao,find_contact,noisy
internet khemne chalabo,turn_on_mobile_data,noisy_augmented
pdf patamu whatsapp e,send_file_whatsapp,noisy_augmented
foto fatao hoyatsap te,send_photo_whatsapp,noisy_augmented
bikash e takha pataite hobe,send_money_bkash,noisy_augmented
bicas e taka kemne pathabo,send_money_bkash,noisy_augmented
মোবাইলে টাকা ভরো,recharge_mobile_bkash,command
photo ta ke pathabo,send_photo_whatsapp,question
bikash money transfer,send_money_bkash,noisy_augmented
lombor save button,save_contact,broken
contact khujte hobe,find_contact,mixed
fodu ta pathaite chai,send_photo_whatsapp,noisy
file send korbo wattsap e,send_file_whatsapp,noisy_augmented
taka sesh recharge dao,recharge_mobile_bkash,banglish
messanger call hocche na,call_messenger,noisy_augmented
contect list e add kori ki kore,save_contact,noisy_augmented
play store app dounload kiram,download_app,noisy_augmented
bicas diye recharge korbo,recharge_mobile_bkash,noisy_augmented
app kemne namabo,download_app,noisy
bkash richarge niyom,recharge_mobile_bkash,noisy_augmented
save contect kori ki kore,save_contact,noisy_augmented
file attach kemne hoy,send_file_whatsapp,noisy
ডাউনলোড হচ্ছে না কেন,download_app,question
ডেটা নেই কেন,turn_on_mobile_data,question
pic pathaite hobe,send_photo_whatsapp,banglish
messenjar e ring dao,call_messenger,noisy
app install korte chai,download_app,banglish
teha sesh recharge dao,recharge_mobile_bkash,noisy_augmented
takha diye richarge kiram kori,recharge_mobile_bkash,noisy_augmented
numbor kivabe store kori,save_contact,noisy
number list dekhao,find_contact,banglish
lombor store kiram,save_contact,noisy
taka transfer bicas,send_money_bkash,noisy_augmented
app ta instol koro,download_app,noisy_augmented
bkash e recharge dibo kiram,recharge_mobile_bkash,noisy_augmented
app dounload kemne hoy,download_app,noisy_augmented
ফাইল পাঠাতে চাই হোয়াটসঅ্যাপে,send_file_whatsapp,standard
install kemne hoy,download_app,noisy_augmented
messenjar ring kemne,call_messenger,noisy_augmented
top up bikash e,recharge_mobile_bkash,noisy_augmented
bicas diye takha dite chai,send_money_bkash,noisy_augmented
মেসেঞ্জার ভিডিও,call_messenger,broken
messenjar khemne call kori,call_messenger,noisy_augmented
contact find korbo ki kore,find_contact,banglish
lombor ta kothay gelo,find_contact,noisy_augmented
মোবাইল ডেটা চালু করবো কীভাবে,turn_on_mobile_data,standard
fodu fatabo wattsap diye,send_photo_whatsapp,noisy_augmented
facebook e call dibo kiram,call_messenger,noisy_augmented
messenjar e kotha bolte chai,call_messenger,noisy_augmented
wayfi on korte parchhi na,turn_on_wifi,noisy_augmented
messenjar diye phone dibo,call_messenger,noisy_augmented
sim e teyha dibo bkash,recharge_mobile_bkash,noisy_augmented
phonebook e contect khuji,find_contact,noisy_augmented
bkash recharge kiram,recharge_mobile_bkash,noisy
app store kothay,download_app,banglish
photo ta ke fatao,send_photo_whatsapp,noisy_augmented
nambar phone e rakho,save_contact,noisy_augmented
bkash richarge kemne hoy,recharge_mobile_bkash,noisy_augmented
contect khujbo kivabe,find_contact,noisy_augmented
contect banate chai,save_contact,noisy_augmented
bkash diye teka dibo,send_money_bkash,noisy_augmented
হোয়াটসঅ্যাপ ছবি,send_photo_whatsapp,broken
sobi fatabo whatsapp e,send_photo_whatsapp,noisy
instol app kiram,download_app,noisy_augmented
ওয়াইফাই চালু করবো কীভাবে,turn_on_wifi,standard
contact khuja,find_contact,broken
app download korbo kivabe,download_app,banglish
contact khujbo kivabe,find_contact,banglish
teka voro mobile e,recharge_mobile_bkash,noisy_augmented
teka e bkash,send_money_bkash,noisy_augmented
wayfi network kemne pabo,turn_on_wifi,noisy_augmented
call dibo messenger,call_messenger,banglish
call messenger,call_messenger,broken
bkash e recharge dibo kemne,recharge_mobile_bkash,noisy_augmented
taka dite chai bkash,send_money_bkash,banglish
wayfi setting kothay,turn_on_wifi,noisy_augmented
নম্বর রাখার নিয়ম,save_contact,question
photo share korbo kemon kore,send_photo_whatsapp,banglish
bkash e teha kemne pathabo,send_money_bkash,noisy_augmented
whatsapp e document kivabe jai,send_file_whatsapp,banglish
app instol korte chai,download_app,noisy_augmented
অ্যাপ ইনস্টল করো,download_app,command
wifi connection kemne pabo,turn_on_wifi,noisy
messanger e call korbo,call_messenger,noisy_augmented
hoyatsap document fatao,send_file_whatsapp,noisy_augmented
bikash diye balance dibo,recharge_mobile_bkash,noisy_augmented
contect list e nai,find_contact,noisy_augmented
wifi on,turn_on_wifi,broken
waiphy chalao,turn_on_wifi,noisy
contect khujte hobe,find_contact,noisy_augmented
ছবি পাঠানো হবে কীভাবে,send_photo_whatsapp,question
connect waiphy korbo,turn_on_wifi,noisy_augmented
হোয়াটসঅ্যাপে ফাইল পাঠামু কীভাবে,send_file_whatsapp,noisy_augmented
নাম দিয়ে নম্বর খুঁজবো,find_contact,standard
sobi pathai kemne,send_photo_whatsapp,noisy
mobile balance sesh,recharge_mobile_bkash,broken
recharge bkash kiram,recharge_mobile_bkash,noisy_augmented
pdf ta pathao hoyatsap e,send_file_whatsapp,noisy_augmented
bkash theke teha jabe,send_money_bkash,noisy_augmented
bkash taka kivabe,send_money_bkash,broken
phonebook e nai,find_contact,broken
document cend kori ki kore,send_file_whatsapp,noisy_augmented
bkash taka cend kiram kori,send_money_bkash,noisy_augmented
contect e add kemne,save_contact,noisy_augmented
bkash diye net recharge,recharge_mobile_bkash,banglish
contect ta gelo kothay,find_contact,noisy_augmented
document kemne pathabo,send_file_whatsapp,noisy
sim e taka nai richarge koro,recharge_mobile_bkash,noisy_augmented
messenjar audio kemne,call_messenger,noisy_augmented
naam diye number save,save_contact,banglish
number khujte pari na,find_contact,banglish
instol app kiram,download_app,noisy_augmented
send money bkash khemne,send_money_bkash,noisy_augmented
messanger diye phone dibo,call_messenger,noisy_augmented
lombor add kemne,save_contact,noisy
waiphy band hoye gese,turn_on_wifi,noisy_augmented
ডেটা চালু হচ্ছে না,turn_on_mobile_data,broken
recharge nai sim e,recharge_mobile_bkash,broken
wifi chalate parchhi na,turn_on_wifi,banglish
net on kora hobe,turn_on_mobile_data,mixed
save button koi,save_contact,banglish
নাম্বার কোথায় আছে,find_contact,noisy_augmented
install app kiram,download_app,noisy
app khemne namai,download_app,noisy_augmented
messenjar call dite chai,call_messenger,noisy_augmented
messenjar video kemne kori,call_messenger,noisy_augmented
facebook e call dibo kivabe,call_messenger,banglish
app install kiram,download_app,noisy
bkash mobile teha,recharge_mobile_bkash,noisy
sobi kivabe cend hoy,send_photo_whatsapp,noisy_augmented
messenjar video kemne kori,call_messenger,noisy_augmented
teha transfer hobe bkash e,send_money_bkash,noisy_augmented
file fatao kemne,send_file_whatsapp,noisy_augmented
ম্যাসেঞ্জারে ফোন করবো,call_messenger,standard
wayfi band,turn_on_wifi,noisy_augmented
ছবি send করবো,send_photo_whatsapp,mixed
কাউকে খুঁজছি ফোনবুকে,find_contact,standard
ছবি পাঠাতে চাই কাউকে,send_photo_whatsapp,standard
bicas teka pathaite chai,send_money_bkash,noisy_augmented
file fatabo uatsap e kemne,send_file_whatsapp,noisy_augmented
hoyatsap e kagoj pathabo,send_file_whatsapp,noisy_augmented
wifi cholche na,turn_on_wifi,banglish
bkash theke recharge hoy ki,recharge_mobile_bkash,question
ডকুমেন্ট পাঠাবো হোয়াটসঅ্যাপে,send_file_whatsapp,standard
whatsapp file cend kiram,send_file_whatsapp,noisy_augmented
